Neighborhood name,Total population,Men,Women,Population aged 0 to 4,Population aged 5 to 14,Population aged 15 to 64,Population over 65,Rate of dependecy youth,Rate of dependency elderly,Rate of dependency total,Aging index,Sex ratio,Children per 1000 women,Mortality rate,Total occupied permanent private households,Own property %,Rented property %,Assigned property %,Other forms of occupation %,Electrical connection present %,Garbage collected %,Garbage burnt %,Grabage buried %,Garbage thrown on vacant land or public place %,Garbage thrown in river lake or sea %,Garbage brought to other destination %,Water by general connection %,Water by well %,Water by other means %,Population aged 10 and over,Literate people over the age of 10,Literary rate,Average income of people aged 10 and over with income,Earing up to minimum wage %,Earning more than minimum wage %,No income %
Total in Vitoria,"327,801","153,948","173,853",19598,43522,237733,26948,26.6,11.3,37.9,42.7,88.6,22.28,4.7,"108,515",71.2,23.0,5.6,0.3,99.9,99.8,0.1,0,0.1,0,0,99.3,0.7,0,"288,311","280,065",97.1,2407.92,15.4,53.6,31.0
Andorinhas ,"2,031",977,"1,054",141,279,"1,487",124,28.2,8.3,36.6,29.5,92.7,24.9,4.9,652,54.1,28.2,17.2,0,100,99.9,0.2,0,0,0,0,99.7,0.2,0.2,"1,766","1,687",95.5,972.58,17.2,46.5,36.3
Antonio Honório,"1,347",599,748,52,128,967,200,18.6,20.7,39.3,111.1,80.1,16.8,6.7,426,64.3,22.1,11.0,2.6,100,100,0,0,0,0,0,100.0,0,0,"1,246","1,233",99.0,2148.76,13.6,56.6,29.8
Ariovaldo Favalessa ,787,343,444,54,120,541,72,32.2,13.3,45.5,41.4,77.3,26.2,8.9,241,67.6,16.6,15.8,0,99.6,100,0,0,0,0,0,100.0,0,0,679,661,97.4,1115.79,21.7,45.7,32.7
Barro Vermelho,"5,629","2,634","2,995",272,579,"4,297",481,19.8,11.2,31.0,56.5,87.9,18.7,3.6,"2,008",78.8,18.1,2.9,0,100,99.9,0.2,0,0,0,0,100.0,0.1,0,"5,101","5,084",99.7,5419.79,3.8,68.4,27.8
Bela Vista ,"4,371","2,102","2,269",346,785,"3,002",238,37.7,7.9,45.6,21.0,92.6,30.9,4.6,"1,317",76.8,16.9,6.2,0,100,99.8,0.2,0,0,0,0,99.9,0,0.1,"3,669","3,451",94.1,911.2,23.9,41.1,35.0
Bento Ferreira ,"5,569","2,594","2,975",255,578,"4,091",645,20.4,15.8,36.1,77.4,87.2,19.1,5.4,"1,970",79.1,17.3,3.5,0,100,99.8,0.2,0,0.1,0,0,100.0,0.1,0,"5,058","5,024",99.3,3591.9,7,66.9,26.1
Boa Vista,"1,183",557,626,76,150,873,84,25.9,9.6,35.5,37.2,89.0,24.2,2.5,378,68.0,24.3,7.7,0,99.7,100,0,0,0,0,0,99.7,0.3,0,"1,032","1,001",97.0,1438.33,18.6,53.4,28.0
Bonfim ,"7,106","3,374","3,732",548,"1,176","4,846",536,35.6,11.1,46.6,31.1,90.4,30.3,5.3,"2,116",65.0,22.6,12.2,0,99.9,99.9,0,0,0.1,0,0,98.8,0.9,0.3,"6,028","5,708",94.7,1034.49,24.4,42.4,33.2
Carapina I ,"2,125","1,000","1,125",108,233,"1,580",204,21.6,12.9,34.5,59.8,88.9,20.9,5.2,688,65.1,27.9,7.0,0,100,100,0,0,0,0,0,95.8,4.2,0,"1,915","1,882",98.3,1650.41,13.7,57.6,28.7
Caratoíra ,"5,149","2,370","2,779",358,821,"3,538",432,33.3,12.2,45.5,36.6,85.3,28.3,9.3,"1,556",75.0,19.5,5.3,0,99.6,99.7,0.3,0,0.1,0,0,99.6,0.4,0.1,"4,415","4,256",96.4,933.18,24.2,34.9,40.9
Centro ,"9,838","4,416","5,422",378,896,"7,114","1,450",17.9,20.4,38.3,113.8,81.4,16.4,6.1,"3,767",71.3,24.0,4.5,0,100,100,0,0,0,0,0,99.8,0.2,0,"9,051","8,950",98.9,2393.05,10.6,64.2,25.2
Condusa ,894,438,456,74,154,621,45,36.7,7.2,44.0,19.7,96.1,30.1,6.7,283,82.0,15.9,2,0,100,99.3,0.4,0,0,0,0.4,99.7,0.4,0,743,727,97.9,706.92,24.4,28.8,46.8
Conquista ,"1,914",926,988,201,429,"1,211",73,52.0,6.0,58.1,11.6,93.7,39.6,2.6,547,77.0,16.6,6.2,0,99.8,100,0,0,0,0,0,98.2,1.8,0,"1,514","1,355",89.5,885.73,31.5,31.5,37.0
Consolação ,"2,766","1,284","1,482",183,449,"1,911",223,33.1,11.7,44.7,35.3,86.6,25.5,5.1,855,77.0,16.7,5.7,1,99.9,97.4,1.2,0,1.3,0,0.1,99.7,0.1,0.2,"2,374","2,294",96.6,1323.14,19.1,41.8,39.1
Cruzamento ,"2,407","1,198","1,209",208,489,"1,557",153,44.8,9.8,54.6,22.0,99.1,37.2,4.2,685,79.0,16.5,4.5,0,99.9,99.1,0.6,0,0.2,0,0.2,99.3,0.2,0.6,"1,959","1,837",93.8,910.76,27.6,34.1,38.3
Da Penha,"5,603","2,678","2,925",449,955,"3,804",395,36.9,10.4,47.3,28.1,91.6,31.6,4.8,"1,641",66.4,21.3,12.4,0,99.8,99.9,0.1,0,0,0,0,99.2,0.8,0,"4,722","4,469",94.6,985.87,24.9,37.4,37.7
